Zip Code,Population,Median Household Income,Latitude,Longitude
20172,0,$,38.92000000, -77.40000000
20175,27169,$97598,39.06332016, -77.60459137
20176,46506,$100773,39.17913818, -77.53270721
20177,0,$,39.12000000, -77.56000000
20178,0,$,39.12000000, -77.56000000
20180,6549,$102733,39.26858139, -77.62918854
20181,7877,$100807,38.67964935, -77.56697083
20182,0,$,38.69000000, -77.55000000
20184,839,$79433,39.00183868, -77.88580322
20185,0,$,38.88000000, -77.84000000
20186,14557,$75731,38.71139908, -77.84425354
20187,15252,$93755,38.70891190, -77.73642731
20188,0,$,38.72000000, -77.78000000
20189,0,$,38.95950300, -77.44765500
20190,17529,$85605,38.95985031, -77.34214783
20191,29128,$101472,38.93090057, -77.34355164
20192,-99,$0,38.96936035, -77.38732147
20193,,$,40, -90
20194,13165,$129661,38.98265076, -77.34055328
20195,0,$,38.98000000, -77.35000000
20196,0,$,38.96000000, -77.34000000
20197,1840,$134604,39.19879150, -77.63181305
20198,2492,$75362,38.87882996, -77.75917816
20199,,$,40, -90
22003,55990,$95070,38.83449936, -77.20995331
22009,0,$,38.79000000, -77.27000000
22015,43102,$116283,38.78499985, -77.28665161
22025,17379,$103798,38.59606934, -77.34046173
22026,14258,$67378,38.56824875, -77.29776764
22027,2362,$132923,38.89459991, -77.22125244
22030,55066,$103520,38.83510971, -77.33969116
22031,29795,$89841,38.86040115, -77.26101685
22032,29377,$121648,38.82080078, -77.28624725
22033,37691,$102588,38.87881088, -77.37774658
22034,0,$,38.85850000, -77.25980000
22035,0,$,38.85517700, -77.35833300
22036,0,$,38.80210000, -77.43020000
22037,0,$,38.85900000, -77.22690000
22038,0,$,38.85000000, -77.31000000
22039,18364,$184052,38.75551987, -77.30834198
22040,0,$,38.86700000, -77.15250000
22041,27989,$70291,38.84954834, -77.14254761
22042,33537,$81278,38.86330032, -77.19178772
22043,24302,$91275,38.89920044, -77.19175720
22044,14092,$81591,38.86090088, -77.15489960
22046,16235,$95278,38.88619995, -77.17904663
22047,,$,40, -90
22060,8878,$55827,38.71120071, -77.15100098
22066,18099,$202451,39.00381088, -77.30859375
22067,218,$191428,38.96543121, -77.23571014
22079,32059,$84471,38.67499924, -77.20661926
22081,0,$,38.87000000, -77.23000000
22082,0,$,38.87000000, -77.23000000
22092,,$,40, -90
22093,,$,40, -90
22095,0,$,38.97000000, -77.39000000
22096,0,$,38.96000000, -77.34000000
22101,29887,$161886,38.93571854, -77.16145325
22102,21985,$109207,38.95087814, -77.22170258
22103,0,$,38.93300000, -77.17910000
22106,0,$,38.94000000, -77.18000000
22107,0,$,38.93222700, -77.22089700
22108,0,$,38.93222700, -77.22089700
22109,0,$,38.93000000, -77.18000000
22116,0,$,38.87000000, -77.23000000
22118,0,$,38.87000000, -77.23000000
22119,0,$,38.87000000, -77.23000000
22120,,$,40, -90
22121,0,$,38.70778000, -77.08639000
22122,0,$,38.73612900, -77.20386700
22124,17558,$158766,38.89310074, -77.32849884
22125,711,$,38.68000000, -77.26000000
22134,6862,$48754,38.56774902, -77.43000031
22135,0,$,38.52000000, -77.29000000
22150,27105,$87190,38.76074982, -77.18544769
22151,17456,$98311,38.80223846, -77.20848846
22152,28550,$105827,38.77605057, -77.23355103
22153,31285,$121363,38.74364853, -77.23705292
22156,0,$,38.79000000, -77.19000000
22158,0,$,38.79000000, -77.19000000
22159,0,$,38.79000000, -77.19000000
22160,0,$,38.79000000, -77.19000000
22161,0,$,38.79000000, -77.19000000
22172,8699,$49280,38.55376053, -77.35041809
22180,23491,$105988,38.89735031, -77.25274658
22181,14879,$151395,38.90464020, -77.29385376
22182,24863,$158706,38.93664932, -77.26705170
22183,0,$,38.90000000, -77.27000000
22184,,$,40, -90
22185,0,$,38.87460500, -77.30402900
22191,57598,$62551,38.61909866, -77.26415253
22192,53394,$89495,38.67750168, -77.31392670
22193,73047,$82418,38.64179993, -77.34805298
22194,0,$,38.66000000, -77.25000000
22195,0,$,38.64000000, -77.27000000
22199,0,$,38.70000000, -77.23000000
22201,33476,$86360,38.88684845, -77.09578705
22202,22543,$81838,38.86122131, -77.05296326
22203,21850,$76327,38.87535095, -77.12135315
22204,47233,$60442,38.85948181, -77.10299683
22205,17087,$121655,38.88209915, -77.14005280
22206,19051,$79316,38.84009933, -77.09587097
22207,30920,$131653,38.90959930, -77.12024689
22209,12314,$69400,38.89392090, -77.07305145
22210,0,$,38.88000000, -77.11000000
22211,648,$62156,38.87899017, -77.06920624
22212,0,$,38.87000000, -77.10000000
22213,2936,$126841,38.89569855, -77.16282654
22214,0,$,38.86881800, -77.07396700
22215,0,$,38.88000000, -77.11000000
22216,0,$,38.88000000, -77.12000000
22217,0,$,38.87000000, -77.10000000
22218,,$,40, -90
22219,0,$,38.88000000, -77.11000000
22222,,$,40, -90
22223,,$,40, -90
22225,0,$,38.87000000, -77.06000000
22226,0,$,38.88000000, -77.11000000
22227,0,$,38.88000000, -77.11000000
22229,,$,40, -90
22230,0,$,38.88000000, -77.12000000
22234,,$,40, -90
22240,0,$,38.88000000, -77.12000000
22241,0,$,38.88000000, -77.12000000
22242,0,$,38.88000000, -77.12000000
22243,0,$,38.88000000, -77.12000000
22244,0,$,38.88000000, -77.12000000
22245,0,$,38.88000000, -77.12000000
22246,0,$,38.89000000, -77.10000000
22301,11162,$96320,38.82384872, -77.05989838
22302,16485,$81092,38.82884979, -77.07623291
22303,12601,$71468,38.79153061, -77.07019043
22304,44300,$64575,38.81547928, -77.11934662
22305,15440,$62839,38.83580017, -77.06481171
22306,32326,$63324,38.75889969, -77.09030151
22307,9581,$96069,38.76765060, -77.05845642
22308,12737,$127962,38.73437881, -77.06159973
22309,33220,$76020,38.73006058, -77.10720062
22310,29609,$97077,38.78179932, -77.12619781
22311,17560,$57573,38.83440018, -77.11859131
22312,30614,$73143,38.81724930, -77.15184784
22313,0,$,38.81000000, -77.05000000
22314,29653,$95433,38.81544876, -77.04551697
22315,26202,$104111,38.75072098, -77.15119934
22320,0,$,38.81000000, -77.05000000
22321,,$,40, -90
22331,0,$,38.80000000, -77.07000000
22332,0,$,38.81000000, -77.05000000
22333,0,$,38.81000000, -77.05000000
22334,0,$,38.81000000, -77.05000000
22336,,$,40, -90
22401,24286,$43883,38.29785919, -77.49021149
22402,0,$,38.30000000, -77.46000000
22403,0,$,38.30000000, -77.46000000
22404,0,$,38.30000000, -77.46000000
22405,29152,$77075,38.31858063, -77.39280701
22406,20757,$80163,38.40790176, -77.53350067
22407,54962,$75102,38.27851868, -77.60861969
22408,26851,$69720,38.19863892, -77.44487000
22412,0,$,38.28000000, -77.50000000
22430,0,$,38.38779300, -77.37889900
22463,0,$,38.48250000, -77.42690000
22471,0,$,38.40200000, -77.56560000
22534,2796,$56109,38.05944061, -77.67194366
22545,0,$,38.50400000, -77.51580000
22553,13935,$70390,38.17792892, -77.70664978
22554,51463,$91801,38.43251038, -77.39392853
22555,0,$,38.42000000, -77.41000000
22556,25675,$83171,38.49967957, -77.47982025
22565,0,$,38.13330000, -77.52190000
22601,27813,$42898,39.16753006, -78.17833710
22602,28443,$57418,39.15077972, -78.25549316
22603,13910,$54887,39.27275848, -78.19345093
22604,0,$,39.31000000, -78.32000000
22610,1842,$49943,38.81837845, -78.27889252
22611,8757,$61361,39.17242050, -77.97376251
22620,2348,$66346,39.08177185, -78.02629089
22622,0,$,39.25481700, -78.06606700
22623,670,$,38.85245132, -78.13433075
22624,2565,$51289,39.26916122, -78.07566071
22625,3641,$60238,39.37516022, -78.27574921
22627,637,$59760,38.74171066, -78.07534027
22630,30292,$50565,38.92911148, -78.16249847
22637,1970,$51427,39.25775146, -78.35195923
22638,,$,40, -90
22639,560,$77144,38.81306076, -78.02691650
22640,532,$58050,38.81021881, -78.13542175
22642,4414,$67349,38.91151047, -78.06247711
22643,197,$63449,38.89474869, -78.01236725
22645,3880,$49753,39.05035019, -78.27694702
22646,205,$,39.06940000, -78.03810000
22649,35,$51328,39.00302124, -78.24717712
22654,640,$56872,39.08214951, -78.44252777
22655,19328,$62161,39.06629181, -78.20272827
22656,2381,$50134,39.21384811, -78.09037018
22663,1536,$53089,39.06206894, -78.08744049
22701,31444,$52210,38.43640137, -77.97276306
22709,874,$48920,38.32321930, -78.25087738
22711,92,$,38.47077179, -78.28124237
22712,8415,$64226,38.56737900, -77.80876923
22713,1406,$59237,38.54882050, -78.11759949
22714,1129,$54023,38.51988983, -77.89038086
22715,1082,$43709,38.38861084, -78.16808319
22716,853,$56668,38.59624100, -78.11119080
22718,534,$49484,38.47391891, -77.80864716
22719,395,$44749,38.52310181, -78.28256989
22720,1059,$82132,38.46760178, -77.65093994
22721,,$,40, -90
22722,273,$44450,38.47322083, -78.17769623
22723,128,$,38.35500000, -78.38310000
22724,2282,$76778,38.62482071, -77.92028046
22725,359,$43322,38.44454956, -78.16078949
22726,776,$48770,38.41189957, -77.81353760
22727,5547,$46974,38.39413834, -78.33135223
22728,3310,$69042,38.58766174, -77.70049286
22729,1338,$64564,38.36083984, -77.98812103
22730,115,$50782,38.37577820, -78.12081909
22731,139,$52215,38.35448837, -78.27253723
22732,191,$50784,38.30593872, -78.20307159
22733,1469,$58993,38.34252930, -78.03900909
22734,3187,$59765,38.50819016, -77.76940155
22735,2277,$47177,38.47264099, -78.22210693
22736,732,$48914,38.39170074, -77.69114685
22737,2936,$71815,38.60079956, -77.97849274
22738,1149,$48154,38.26525116, -78.25321198
22739,0,$,38.52200000, -77.60970000
22740,1313,$53617,38.63861084, -78.27143097
22741,182,$46156,38.45996094, -77.87275696
22742,1926,$82507,38.46223831, -77.71621704
22743,204,$44090,38.51784897, -78.37400055
22746,0,$,38.64827000, -78.03407000
22747,1132,$53469,38.70714951, -78.17047119
22748,0,$,38.35600000, -78.34780000
22749,349,$54176,38.62931061, -78.17469788
22948,305,$53536,38.33559036, -78.13163757
22989,112,$,38.29115700, -78.12251000
