Zip Code,City,County,Latitude,Longitude,Population,Median Household Income,Dance Studio
22031,Fairfax,Fairfax,38.86040115,-77.26101685,29795,89841,156.0
22032,Fairfax,Fairfax,38.82080078,-77.28624725,29377,121648,126.0
22033,Fairfax,Fairfax,38.87881088,-77.37774658,37691,102588,108.0
22039,Fairfax Station,Fairfax,38.75551987,-77.30834198,18364,184052,36.0
22041,Falls Church,Fairfax,38.84954834,-77.14254761,27989,70291,210.0
22042,Falls Church,Fairfax,38.86330032,-77.19178772,33537,81278,210.0
22043,Falls Church,Fairfax,38.89920044,-77.1917572,24302,91275,162.0
22044,Falls Church,Fairfax,38.86090088,-77.1548996,14092,81591,204.0
22046,Falls Church,Falls Church City,38.88619995,-77.17904663,16235,95278,204.0
22060,Fort Belvoir,Fairfax,38.71120071,-77.15100098,8878,55827,66.0
22066,Great Falls,Fairfax,39.00381088,-77.30859375,18099,202451,54.0
22067,Greenway,Fairfax,38.96543121,-77.23571014,218,191428,84.0
22079,Lorton,Fairfax,38.67499924,-77.20661926,32059,84471,66.0
22101,Mc Lean,Fairfax,38.93571854,-77.16145325,29887,161886,228.0
22102,Mc Lean,Fairfax,38.95087814,-77.22170258,21985,109207,96.0
22124,Oakton,Fairfax,38.89310074,-77.32849884,17558,158766,144.0
22134,Quantico,Prince William,38.56774902,-77.43000031,6862,48754,18.0
22150,Springfield,Fairfax,38.76074982,-77.18544769,27105,87190,138.0
22151,Springfield,Fairfax,38.80223846,-77.20848846,17456,98311,174.0
22152,Springfield,Fairfax,38.77605057,-77.23355103,28550,105827,108.0
22153,Springfield,Fairfax,38.74364853,-77.23705292,31285,121363,60.0
22172,Triangle,Prince William,38.55376053,-77.35041809,8699,49280,24.0
22180,Vienna,Fairfax,38.89735031,-77.25274658,23491,105988,114.0
22181,Vienna,Fairfax,38.9046402,-77.29385376,14879,151395,162.0
22182,Vienna,Fairfax,38.93664932,-77.2670517,24863,158706,132.0
22191,Woodbridge,Prince William,38.61909866,-77.26415253,57598,62551,60.0
22192,Woodbridge,Prince William,38.67750168,-77.3139267,53394,89495,78.0
22193,Woodbridge,Prince William,38.64179993,-77.34805298,73047,82418,78.0
22201,Arlington,Arlington,38.88684845,-77.09578705,33476,86360,270.0
22202,Arlington,Arlington,38.86122131,-77.05296326,22543,81838,270.0
22203,Arlington,Arlington,38.87535095,-77.12135315,21850,76327,282.0
22204,Arlington,Arlington,38.85948181,-77.10299683,47233,60442,282.0
22205,Arlington,Arlington,38.88209915,-77.1400528,17087,121655,246.0
22206,Arlington,Arlington,38.84009933,-77.09587097,19051,79316,234.0
22207,Arlington,Arlington,38.9095993,-77.12024689,30920,131653,270.0
22209,Arlington,Arlington,38.8939209,-77.07305145,12314,69400,264.0
22211,Ft Myer,Arlington,38.87899017,-77.06920624,648,62156,264.0
22213,Arlington,Arlington,38.89569855,-77.16282654,2936,126841,180.0
22301,Alexandria,Alexandria City,38.82384872,-77.05989838,11162,96320,228.0
22302,Alexandria,Alexandria City,38.82884979,-77.07623291,16485,81092,240.0
22303,Alexandria,Fairfax,38.79153061,-77.07019043,12601,71468,180.0
22304,Alexandria,Alexandria City,38.81547928,-77.11934662,44300,64575,198.0
22305,Alexandria,Alexandria City,38.83580017,-77.06481171,15440,62839,246.0
22306,Alexandria,Fairfax,38.75889969,-77.09030151,32326,63324,150.0
22307,Alexandria,Fairfax,38.7676506,-77.05845642,9581,96069,138.0
22308,Alexandria,Fairfax,38.73437881,-77.06159973,12737,127962,102.0
22309,Alexandria,Fairfax,38.73006058,-77.10720062,33220,76020,96.0
22310,Alexandria,Fairfax,38.78179932,-77.12619781,29609,97077,168.0
22311,Alexandria,Alexandria City,38.83440018,-77.11859131,17560,57573,222.0
22312,Alexandria,Fairfax,38.8172493,-77.15184784,30614,73143,180.0
22314,Alexandria,Alexandria City,38.81544876,-77.04551697,29653,95433,192.0
22315,Alexandria,Fairfax,38.75072098,-77.15119934,26202,104111,138.0
22401,Fredericksburg,Fredericksburg City,38.29785919,-77.49021149,24286,43883,78.0
22405,Fredericksburg,Stafford,38.31858063,-77.39280701,29152,77075,54.0
22406,Fredericksburg,Stafford,38.40790176,-77.53350067,20757,80163,6.0
22407,Fredericksburg,Spotsylvania,38.27851868,-77.60861969,54962,75102,18.0
22408,Fredericksburg,Spotsylvania,38.19863892,-77.44487,26851,69720,30.0
